cur_domain,cur_diff,correct,time_ms,target_domain,target_diff
2,0,0,6665,2,0
2,2,1,10695,1,1
0,0,1,6407,0,0
2,1,1,6278,2,1
2,0,0,5972,2,0
0,0,0,8461,0,0
1,1,0,10606,1,0
0,2,1,7244,0,2
2,2,0,14609,0,1
0,1,0,6982,0,0
1,2,0,11462,1,1
2,2,0,9732,2,1
0,2,0,5101,2,1
0,0,1,5431,0,0
0,1,1,9875,0,1
1,2,0,10541,2,1
2,0,1,8374,0,0
1,2,1,12788,1,1
1,1,0,8358,0,0
0,0,0,624,0,0
0,1,1,6044,0,1
1,0,1,8487,2,0
2,1,0,8779,2,0
1,1,0,5562,1,0
1,0,0,4080,0,0
2,2,0,7326,2,1
2,2,0,2969,1,1
0,2,0,13997,0,1
2,1,0,10800,2,0
2,0,0,11743,0,0
0,2,1,7868,0,2
1,2,1,1650,1,2
2,2,1,3328,2,2
1,1,0,5641,0,0
1,0,0,2594,1,0
2,0,0,1338,0,0
2,2,1,1895,2,2
0,1,0,12217,2,0
2,0,0,1833,2,0
0,2,1,6217,0,2
2,1,1,8690,2,1
0,0,0,8036,0,0
1,0,0,540,1,0
0,0,0,7637,0,0
0,1,1,4357,1,1
0,2,0,1938,1,1
1,0,0,6646,1,0
1,1,0,13259,1,0
0,1,1,11344,0,0
2,0,1,7991,2,0
0,2,0,11625,0,1
2,0,0,2132,2,0
2,1,1,6705,2,1
0,1,0,3914,1,0
1,0,0,13156,0,0
0,0,1,9521,0,0
1,0,1,14237,1,0
0,0,1,2530,0,1
1,2,0,796,1,1
2,0,1,13857,2,0
1,1,1,936,1,2
2,2,0,4999,1,1
1,1,0,14706,1,0
2,1,0,14327,2,0
2,1,1,8337,2,1
0,2,0,10806,0,1
0,1,1,10710,0,0
2,1,0,11848,1,0
2,2,0,10681,2,1
0,2,1,9103,0,2
1,1,1,2367,2,2
2,1,0,14263,2,0
1,0,0,5668,1,0
2,0,0,5154,2,0
0,1,1,1693,0,2
1,0,1,6315,1,0
1,0,0,13264,1,0
0,2,1,11882,0,1
2,2,1,2936,2,2
0,0,1,12148,0,0
0,1,1,14552,1,0
0,0,1,3503,0,0
1,1,0,4908,1,0
2,0,0,514,2,0
0,1,1,11186,0,0
1,0,1,14093,2,0
1,1,0,6308,1,0
0,0,0,7269,0,0
2,2,0,13457,2,1
1,1,1,10383,1,0
0,1,1,1926,0,2
2,0,1,7723,1,0
0,2,1,2663,0,2
1,2,0,660,2,1
0,2,0,5226,0,1
0,0,0,3160,0,0
0,2,1,846,0,2
1,2,1,4223,2,2
1,1,1,8365,2,1
1,0,1,10378,2,0
1,1,0,1776,1,0
2,2,0,2712,2,1
1,2,1,14299,1,1
2,1,0,10990,2,0
1,1,1,2085,1,2
1,1,0,13674,1,0
2,1,1,1357,2,2
0,1,0,10273,1,0
1,1,1,3771,1,1
2,0,1,14912,2,0
2,1,1,921,1,2
0,1,1,1951,1,2
2,1,1,4352,2,1
2,0,1,5456,2,0
0,2,0,9836,0,1
0,0,0,11030,0,0
1,1,1,9703,1,1
1,1,0,13281,0,0
0,1,0,11743,0,0
0,0,1,12362,0,0
1,2,1,14891,2,1
2,0,0,3856,1,0
0,0,0,2971,0,0
1,2,1,12237,2,1
2,0,0,3871,2,0
1,0,1,5586,1,0
2,0,1,10821,1,0
0,0,0,12077,1,0
0,1,1,767,2,2
2,1,0,12477,0,0
0,0,1,3223,0,0
0,0,0,2691,0,0
0,1,1,11763,0,0
2,0,1,7342,2,0
2,2,1,3415,2,2
0,2,1,8340,0,2
2,1,1,12953,2,0
1,2,0,8867,1,1
2,0,1,9736,2,0
2,0,0,3857,0,0
1,0,0,14567,1,0
0,2,1,11709,2,1
0,1,0,1152,2,0
1,0,0,10954,1,0
2,2,0,9521,2,1
1,0,0,1572,1,0
0,0,1,1734,0,1
2,0,0,6313,2,0
2,0,0,13084,2,0
2,1,1,8593,2,1
2,1,0,13000,2,0
0,1,1,2742,0,2
1,2,0,10337,1,1
